Назва елемента,ID документа,Категорія,Версія,Статус,Власник,Опис (Inferred),Джерело
Capability Change Log,Не вказано,Governance,Не вказано,Не вказано,AI-OS Architecture,Історичний запис усіх змін та еволюції рівня можливостей (Capability Layer).,6
Single Source of Truth (SSOT),Не вказано,Architectural Principle,Не вказано,Не вказано,AI-OS Architecture,Принцип єдиного джерела істини для забезпечення цілісності та достовірності даних.,6
Separation of Concerns (SoC),Не вказано,Architectural Principle,Не vказано,Не вказано,AI-OS Architecture,Розподіл системи на окремі функціональні секції для зменшення складності.,6
Reusability,Не вказано,Architectural Principle,Не вказано,Не вказано,AI-OS Architecture,Принцип проектування модулів для повторного використання в різних частинах системи.,6
Execution Module Specification,DOC-EXEC-001,Execution,1.1.0,Draft,AI-OS Architecture,"Встановлює обов'язковий архітектурний стандарт для проектування, документування та управління модулями виконання (Execution Modules) в межах AI-OS.",7
Prompt Engineering,DOC-CAPA-011,AI Engineering,1.0.0,Draft,AI-OS Architecture,"Модуль розробки та оптимізації промптів для LLM, що забезпечує створення надійних, багаторазових та незалежних від платформи артефактів інструкцій.",8
Teaching,DOC-CAPA-019,Education,1.0.0,Draft,AI-OS Architecture,"Модуль розробки інструкцій та адаптації до учня, що фокусується на педагогічних методах, структуруванні пояснень та перевірці розуміння у парі з предметними модулями.",9
Teach SQL,DOC-EXEC-018,Execution Module,Не вказано в джерелі,Не вказано в джерелі,AI-OS Architecture,"Модуль виконання, що спеціалізується на навчанні мові SQL, використовуючи принципи модуля Teaching.",9
AI Strategy,DOC-CAPA-012,AI Engineering,1.0.0,Draft,AI-OS Architecture,"Модуль стратегії ШІ, що забезпечує експертизу в проектуванні систем на базі ШІ, виборі архітектури та оцінці компромісів між вартістю, надійністю та функціональністю.",10
Power BI,DOC-CAPA-017,Data & Analytics,1.0.0,Draft,AI-OS Architecture,"Модуль для проектування та розробки рішень Power BI, включаючи моделювання даних за схемою «зірка», створення заходів DAX та візуалізацію аналітичної звітності.",11
Data Analytics,DOC-CAPA-013,Data & Analytics,1.0.0,Draft,AI-OS Architecture,"Модуль аналітичної експертизи, що фокусується на формулюванні аналітичних питань, виборі методології, інтерпретації результатів та перетворенні даних у рішення.",12
SQL,DOC-CAPA-015,Data & Analytics,1.0.0,Draft,AI-OS Architecture,"Забезпечує експертизу в написанні правильного, зрозумілого та продуктивного SQL, а також у моделюванні реляційних даних для різних діалектів (PostgreSQL, MySQL, SQL Server тощо).",13
Excel,DOC-CAPA-018,Data & Analytics,1.0.0,Draft,AI-OS Architecture,"Модуль експертизи зі створення коректних, підтримуваних та аудованих робочих книг Excel, включаючи формули, структурований аналіз та автоматизацію.",14
Capability Dependency Matrix,DOC-CAPA-007,Governance Standard,1.0.1,Active,AI-OS Architecture,"Визначає модель залежностей, правила співпраці та обмеження взаємодії між модулями можливостей (Capability Modules) в системі AI-OS.",15
Python,DOC-CAPA-016,Software Engineering,1.0.0,Draft,AI-OS Architecture,"Забезпечення експертизи у написанні чистого коду на Python для скриптування, автоматизації та обробки даних з дотриманням принципів SOLID, DRY та KISS.",16
Технічне письмо (Technical Writing),DOC-CAPA-020,Зв'язок (Communication),1.0.0,Чернетка (Draft),AI-OS Architecture,"Модуль для створення чіткої технічної документації, специфікацій та стандартів із забезпеченням узгодженості термінології та інформаційної архітектури.",17
Statistics,DOC-CAPA-014,Data & Analytics,1.0.0,Draft,AI-OS Architecture,"Забезпечує експертизу в статистичному обґрунтуванні, включаючи вибір методів, кількісну оцінку невизначеності та перевірку гіпотез для запобігання статистичним помилкам.",18
Analyze,DOC-EXEC-013,Analysis (Аналіз),1.0.0,Draft (Чернетка),AI-OS Architecture,"Стандартизований модуль для аналізу артефактів (промптів, документів, наборів даних) з метою створення структурованих звітів на основі доказів.",19
Core Execution Engine,DOC-CORE-002,Модуль виконання,1.1.0,Чернетка (Draft),AI-OS Architecture,"Центральний механізм виконання завдань, що керує аналізом, плануванням, стратегією та валідацією відповідей системи.",20
Core Identity (Ядро ідентичності),DOC-CORE-001,Core Layer (Базовий рівень),1.0.0,Draft (Чернетка),AI-OS Architecture,"Визначає фундаментальні принципи поведінки, пріоритети прийняття рішень та стандарти комунікації ШІ, забезпечуючи стабільну ідентичність незалежно від домену виконання.",21
Core Execution Engine (Базовий механізм виконання),Не вказано в джерелі,Execution Module (Модуль виконання),Не вказано в джерелі,Не вказано в джерелі,AI-OS Architecture,"Основний компонент системи, що відповідає за безпосереднє виконання завдань та обробку запитів на основі визначених алгоритмів.",21
AI-OS Design Principles (Принципи дизайну AI-OS),Не вказано в джерелі,Architectural Principles (Архітектурні принципи),Не вказано в джерелі,Не вказано в джерелі,AI-OS Architecture,"Набір концептуальних правил та підходів, якими керуються при проектуванні та розвитку архітектури платформи.",21
Single Source of Truth,DP-001,Design Principles,1.0.0,Active,AI-OS Architecture,Принцип забезпечення єдиного джерела істини для даних та конфігурацій у системі.,22
Separation of Concerns,DP-002,Design Principles,1.0.0,Active,AI-OS Architecture,"Розподіл системи на окремі секції, де кожна секція відповідає за окремий аспект функціональності.",22
Don't Repeat Yourself,DP-003,Design Principles,1.0.0,Active,AI-OS Architecture,Уникнення дублювання інформації або логіки в межах архітектури та коду.,22
Modular Architecture,DP-004,Design Principles,1.0.0,Active,AI-OS Architecture,Проектування системи як набору незалежних взаємозамінних модулів.,22
Standardization,DP-005,Design Principles,1.0.0,Active,AI-OS Architecture,"Використання єдиних стандартів для інтерфейсів, протоколів та форматів даних.",22
Consistency,DP-006,Design Principles,1.0.0,Active,AI-OS Architecture,Забезпечення узгодженості даних та поведінки системи у всіх її компонентах.,22
Explicit Dependencies,DP-007,Design Principles,1.0.0,Active,AI-OS Architecture,Чітке визначення та декларування всіх зовнішніх та внутрішніх залежностей модуля.,22
Traceability,DP-008,Design Principles,1.0.0,Active,AI-OS Architecture,"Можливість відстеження рішень, змін та потоків даних у системі.",22
Platform Agnostic Design,DP-009,Design Principles,1.0.0,Active,AI-OS Architecture,"Проектування рішень, які не залежать від конкретної програмної або апаратної платформи.",22
Reusability,DP-010,Design Principles,1.0.0,Active,AI-OS Architecture,"Створення компонентів, які можуть бути повторно використані в інших частинах системи.",22
Scalability,DP-011,Design Principles,1.0.0,Active,AI-OS Architecture,Здатність системи обробляти зростаюче навантаження шляхом додавання ресурсів.,22
Extensibility,DP-012,Design Principles,1.0.0,Active,AI-OS Architecture,Можливість розширення функціоналу системи з мінімальними змінами в існуючому коді.,22
Maintainability,DP-013,Design Principles,1.0.0,Active,AI-OS Architecture,"Легкість підтримки, виправлення помилок та оновлення системи.",22
Quality by Design,DP-014,Design Principles,1.0.0,Active,AI-OS Architecture,Інтеграція контролю якості на початкових етапах проектування архітектури.,22
Evidence-Based Decision Making,DP-015,Design Principles,1.0.0,Active,AI-OS Architecture,Прийняття архітектурних рішень на основі об'єктивних даних та доказів.,22
Generate,DOC-EXEC-014,Creation,1.0.0,Draft,AI-OS Architecture,"Модуль виконання для створення нових артефактів (промптів, коду, документів) на основі визначених цілей та критеріїв прийнятності.",23
Develop AI Assistant,DOC-EXEC-017,Development,1.0.0,Draft,AI-OS Architecture,"Забезпечує стандартизований процес проектування ШІ-асистентів або агентів, включаючи їхні ролі, поведінку, можливості та робочі процеси у вигляді незалежної від платформи специфікації.",24
Document Metadata Standard,DOC-ARCH-006,Architecture Layer / Standard,1.1.0,Active,AI-OS Architecture,"Встановлює обов'язкові вимоги до метаданих документів, форматів ідентифікаторів та канонічних статусів у системі AI-OS.",25
AI-OS Documentation Standards,Не вказано в джерелі,Architecture Layer (Inferred),Не вказано в джерелі,Не вказано в джерелі,AI-OS Architecture (Inferred),Визначає повні структурні та стилістичні правила оформлення документації платформи.,25
AI-OS Document Template,TMP-NNN (Inferred),Templates Layer,Не вказано в джерелі,Не вказано в джерелі,AI-OS Architecture (Inferred),Шаблон для створення офіційних документів згідно зі стандартами метаданих.,25
AI-OS Document Registry,Не вказано в джерелі,Architecture Layer (Inferred),Не вказано в джерелі,Не вказано в джерелі,AI-OS Architecture (Inferred),Централізований реєстр для реєстрації та присвоєння унікальних ідентифікаторів усім офіційним документам.,25
AI-OS Design Principles,DOC-ARCH-NNN (Inferred),Architecture Layer,Не вказано в джерелі,Не вказано в джерелі,AI-OS Architecture,"Набір архітектурних принципів (зокрема DP-001, DP-003), які керують розробкою та структуруванням системи.",25
Validate,DOC-EXEC-015,Validation,1.0.0,Draft,AI-OS Architecture,"Стандартизований процес перевірки артефактів на відповідність критеріям прийнятності, стандартам якості та архітектурним принципам перед їх публікацією.",26
Analyze,DOC-EXEC-013,Execution Module,Не вказано,Не вказано,AI-OS Architecture,"Модуль виконання, призначений для глибокого аналізу та відкритої оцінки даних або системних компонентів.",26
Generate,DOC-EXEC-014,Execution Module,Не вказано,Не вказано,AI-OS Architecture,"Модуль виконання, що відповідає за створення нових артефактів або контенту на основі заданих параметрів.",26
Optimize,DOC-EXEC-016,Execution Module,Не вказано,Не вказано,AI-OS Architecture,"Модуль виконання, орієнтований на покращення існуючих артефактів та підвищення їхньої ефективності.",26
Teach SQL,DOC-EXEC-018,Модуль виконання (Освіта),1.0.0,Draft,AI-OS Architecture,"Забезпечує стандартизований процес навчання концепціям SQL, адаптований до рівня учня, з акцентом на розумінні принципів, а не простому наданні відповідей.",27
Стандарти документації AI-OS,01_Architecture/AI-OS_Documentation_Standards.md,Архітектура,Не вказано в джерелі,Не вказано в джерелі,Не вказано в джерелі,Визначає правила оформлення та структурування всієї офіційної документації операційної системи.,28
Стандарт метаданих документів AI-OS,01_Architecture/AI-OS_Document_Metadata_Standard.md,Архітектура,Не вказано в джерелі,Не вказано в джерелі,Не вказано в джерелі,"Встановлює обов'язкові поля метаданих, таких як версія, статус та ідентифікатор документа.",28
Реєстр документів AI-OS,01_Architecture/AI-OS_Document_Registry.md,Архітектура,Не вказано в джерелі,Не вказано в джерелі,Не вказано в джерелі,"Авторитетний перелік усіх офіційних документів системи, що є єдиним джерелом істини.",28
Принципи проектування AI-OS,01_Architecture/AI-OS_Design_Principles.md,Архітектура,Не вказано в джерелі,Не вказано в джерелі,Не вказано в джерелі,Основні архітектурні орієнтири та філософські засади розробки компонентів AI-OS.,28
Реєстр принципів AI-OS,01_Architecture/AI-OS_Principles_Registry.md,Архітектура,Не вказано в джерелі,Не вказано в джерелі,Не вказано в джерелі,Систематизований перелік усіх затверджених архітектурних принципів системи.,28
Модулі виконання (Execution Modules),03_Execution_Layer/,Рівень виконання,Не вказано в джерелі,Не вказано в джерелі,Не вказано в джерелі,"Шаблони та робочі процеси для модулів, що відповідають за безпосереднє виконання завдань.",28
Адаптери платформ (Platform Adapters),04_Platforms/,Рівень платформ,Не вказано в джерелі,Не вказано в джерелі,Не вказано в джерелі,"Документація шару платформ, що забезпечує взаємодію системи з різними зовнішніми середовищами.",28
Optimize,DOC-EXEC-016,Optimization,1.0.0,Draft,AI-OS Architecture,"Модуль для систематичного покращення існуючих артефактів (промптів, коду, документації) відповідно до визначених цілей при збереженні вихідної логіки та інтерфейсів.",29
Execution Review Standard,DOC-EXEC-008,Governance Standard,1.0.1,Draft,AI-OS Architecture,Встановлює обов'язкові критерії перевірки для всіх модулів виконання в рамках Execution Layer для забезпечення відповідності архітектурі.,30
Core Identity,Не вказано,Супутні документи,Не вказано,Не вказано,Не вказано,"Документ, що визначає базову ідентичність та принципи автентифікації в системі AI-OS.",30
Core Execution Engine,Не вказано,Супутні документи,Не вказано,Не вказано,Не вказано,"Основний компонент системи, що забезпечує виконання процесів та логіки модулів.",30
Capability Blueprint,Не вказано,Супутні документи,Не вказано,Не вказано,Не вказано,Шаблон або специфікація для створення модулів можливостей (Capability Modules).,30
Capability Writing Guide,Не вказано,Супутні документи,Не вказано,Не вказано,Не вказано,Інструкція щодо написання та документування модулів можливостей.,30
Capability Lifecycle,Не вказано,Супутні документи,Не вказано,Не вказано,Не вказано,Опис життєвого циклу модулів можливостей від створення до виведення з експлуатації.,30
Capability Dependency Matrix,Не вказано,Супутні документи,Не вказано,Не вказано,Не вказано,Матриця взаємозв'язків та залежностей між різними модулями можливостей.,30
AI-OS Architectural Principles,Не вказано,Архітектурні принципи,Не вказано,Не вказано,Не вказано,"Фундаментальні архітектурні принципи, на яких базується вся екосистема AI-OS.",30
AI-OS Documentation Standards,Не вказано,Стандарти,Не вказано,Не вказано,Не вказано,Стандарти оформлення технічної та функціональної документації для платформи.,30
AI-OS Glossary,Не вказано,Стандарти,Не вказано,Не вказано,Не вказано,"Загальний глосарій термінів та визначень, що використовуються в AI-OS.",30
Шаблон модуля можливостей (Capability Module Template),DOC-CAPA-001,Capability,1.0.1,Draft,AI-OS Architecture,"Стандартизований шаблон для створення модулів можливостей, що забезпечує архітектурну цілісність та сумісність між рівнями системи.",31
Принципи проектування AI-OS (Design Principles),Не вказано в джерелі,Architectural Principles,Не вказано в джерелі,Активний,AI-OS Architecture,"Централізовано керовані архітектурні принципи, яким повинні відповідати всі модулі системи для забезпечення масштабованості.",31
Стандарт метаданих документів AI-OS,Не вказано в джерелі,Documentation Standards,Не вказано в джерелі,Не вказано в джерелі,AI-OS Architecture,Визначає обов'язкові поля метаданих для ідентифікації та відстеження документів у межах екосистеми AI-OS.,31
Реєстр принципів AI-OS,Не вказано в джерелі,Registry,Не вказано в джерелі,Не вказано в джерелі,AI-OS Architecture,Централізований перелік усіх затверджених архітектурних принципів та правил системи.,31
Модуль виконання (Execution Module),Не вказано в джерелі,Execution Layer,Не вказано в джерелі,Не вказано в джерелі,AI-OS Architecture,"Компонент рівня виконання, що взаємодіє з модулями можливостей для реалізації конкретних сценаріїв роботи.",31
Execution Blueprint,DOC-EXEC-006,Модуль виконання,1.1,Active,AI-OS Architecture,"Стандартний план проектування, документування та обслуговування модулів виконання в системі AI-OS для забезпечення уніфікації та інтеграції.",32
fixedthis,fixedthis.agent.md,Агент виконання (Execution Agent),1.0.0 (Inferred),Активний,AI-OS Architecture Team (Inferred),"Агент для автоматичного виправлення помилок у коді, файлах або діагностиках робочого простору за запитом користувача.",33
Platform Layer,DOC-PLAT-001,Платформний рівень,1.1.0,Чернетка,AI-OS Architecture,З'єднує незалежне від платформи ядро AI-OS з конкретними ШІ-платформами через адаптери.,34
Claude Adapter,DOC-PLAT-NNN,Адаптер платформи,Не вказано в джерелі,Планується,AI-OS Architecture,"Адаптер для інтеграції з Claude Projects, Claude Code (Skills, CLAUDE.md) та MCP.",34
GPT Adapter,DOC-PLAT-NNN,Адаптер платформи,Не вказано в джерелі,Планується,AI-OS Architecture,Адаптер для роботи з Custom GPTs та Assistants API від OpenAI.,34
Generic Adapter,DOC-PLAT-NNN,Адаптер платформи,Не вказано в джерелі,Планується,AI-OS Architecture,"Універсальний адаптер для Gemini, локальних моделей та будь-яких платформ з підтримкою системних промптів.",34
Platform Agnostic Design,DP-009,Архітектурний принцип,Не вказано в джерелі,Не вказано в джерелі,AI-OS Architecture,"Принцип, що забороняє наявність специфічної для вендорів поведінки в основних шарах системи.",34
Core Execution Engine,Не вказано в джерелі,Модуль виконання,Не вказано в джерелі,Не вказано в джерелі,AI-OS Architecture,"Центральний механізм виконання, який збирається адаптерами для роботи на конкретних платформах.",34
Execution Writing Guide,DOC-EXEC-007,Рівень 3 – Рівень виконання,1.1,Active,AI-OS Architecture,"Офіційний стандарт для написання, документування та обслуговування модулів виконання в системі AI-OS, що забезпечує узгодженість та взаємодію.",35
Core Identity,Не вказано,Архітектурний принцип,Не вказано,Не вказано,AI-OS Architecture,"Фундаментальний принцип системи, що визначає ідентифікацію сутностей у межах архітектури AI-OS.",35
Core Execution Engine,Не вказано,Модуль виконання / Ядро,Не вказано,Не вказано,AI-OS Architecture,"Основний механізм виконання системи, відповідальний за обробку та управління модулями виконання.",35
AI-OS Architectural Principles,Не вказано,Архітектурні принципи,Не вказано,Не вказано,AI-OS Architecture,"Збірник основоположних правил та стандартів, які визначають побудову та розвиток архітектури платформи.",35
Execution Registry,00_Execution_Registry,Реєстр / База даних,Не вказано,Не вказано,AI-OS Architecture,Централізований реєстр для каталогізації та відстеження всіх доступних модулів виконання в системі.,35
Capability Registry,00_Capability_Registry,Реєстр / База даних,Не вказано,Не вказано,AI-OS Architecture,"Реєстр, що містить опис функціональних можливостей системи та доступних сервісів.",35
Prompt Engineering,DOC-CAPA-011,AI Engineering,1.0.0,Draft,AI-OS Architecture,Розробка та оптимізація запитів для ефективної взаємодії з мовними моделями ШІ.,36
AI Strategy,DOC-CAPA-012,AI Engineering,1.0.0,Draft,AI-OS Architecture,Планування та стратегічне впровадження технологій штучного інтелекту в архітектуру системи.,36
Data Analytics,DOC-CAPA-013,Data & Analytics,1.0.0,Draft,AI-OS Architecture,Аналіз великих масивів даних для виявлення закономірностей та прийняття рішень.,36
Statistics,DOC-CAPA-014,Data & Analytics,1.0.0,Draft,AI-OS Architecture,Використання математичних методів для обробки та інтерпретації цифрових даних.,36
SQL,DOC-CAPA-015,Data & Analytics,1.0.0,Draft,AI-OS Architecture,Модуль для роботи з реляційними базами даних та структурування запитів.,36
Python,DOC-CAPA-016,Software Engineering,1.0.0,Draft,AI-OS Architecture,Забезпечення можливостей розробки та виконання сценаріїв мовою програмування Python.,36
Power BI,DOC-CAPA-017,Data & Analytics,1.0.0,Draft,AI-OS Architecture,Візуалізація даних та побудова інтерактивних аналітичних звітів.,36
